央视频道,#genre#
CCTV8,http://101.66.199.12:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://125.42.150.40:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://125.43.244.34:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://125.42.151.128:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://1.198.67.186:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://101.66.199.189:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://106.115.27.251:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://101.66.199.12:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://125.42.150.40:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://125.43.244.34:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://1.198.67.186:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://125.42.151.128:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://101.66.199.189:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://106.115.27.251:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://101.66.199.12:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://1.198.67.186:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://125.42.150.40:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://125.43.244.34:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://125.42.151.128:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://101.66.199.189:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://106.115.27.251:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV4K,http://113.119.25.156:58888/udp/239.77.0.194:5146$广东电信11
CCTV4K,http://60.4.30.177:8077/rtp/239.253.92.219:6228$河北联通11
CCTV4K,http://106.59.3.238:55555/rtp/239.200.200.202:8784$云南电信11
CCTV4K,http://106.116.126.74:4022/rtp/239.254.201.67:6000$河北电信11
CCTV4K,http://59.174.162.195:4022/rtp/239.69.1.12:9712$湖北电信11
CCTV4K,http://183.164.237.29:8888/rtp/238.1.78.137:6968$安徽电信11
CCTV4K,http://220.176.218.227:9000/rtp/239.252.219.60:5140$江西电信11
CCTV4K,http://113.119.25.156:58888/udp/239.77.0.174:5146$广东电信12
CCTV4K,http://60.4.30.177:8077/rtp/239.253.93.134:6631$河北联通12
CCTV4K,http://121.29.215.36:2083/rtp/239.253.92.219:6228$河北联通21
CCTV4K,http://106.59.3.73:55555/rtp/239.200.200.202:8784$云南电信21
CCTV4K,http://106.116.242.122:9999/rtp/239.254.201.67:6000$河北电信21
CCTV4K,http://121.29.215.36:2083/rtp/239.253.93.134:6631$河北联通22
CCTV-1,rtp://225.1.1.120:5002$联通RTP

CCTV-2,rtp://225.1.1.133:5002$联通RTP

CCTV-3,rtp://225.1.1.158:5002$联通RTP

CCTV-4,rtp://225.1.1.150:5002$联通RTP

CCTV-5,rtp://225.1.1.160:5002$联通RTP

CCTV-5+,rtp://225.1.1.121:5002$联通RTP

CCTV-6,rtp://225.1.1.195:5002$联通RTP

CCTV-7,rtp://225.1.1.138:5002$联通RTP

CCTV-8,rtp://225.1.1.196:5002$联通RTP

CCTV-9,rtp://225.1.1.119:5002$联通RTP

CCTV-10,rtp://225.1.1.140:5002$联通RTP

CCTV-11,rtp://225.1.2.192:5002$联通RTP

CCTV-12,rtp://225.1.1.142:5002$联通RTP

CCTV-13,rtp://225.1.2.193:5002$联通RTP

CCTV-14,rtp://225.1.1.144:5002$联通RTP

CCTV-15,http://122.224.58.42:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-15,rtp://225.1.2.194:5002$联通RTP

CCTV-16,rtp://225.1.2.237:5002$联通RTP

CCTV-17,rtp://225.1.2.52:5002$联通RTP

CCTV-4K,rtp://225.1.2.245:5002$联通RTP


CCTV-8K,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub$收集1

CCTV-8K,http://107.150.60.122/live/cctv8k.m3u8$微信1

央视付费频道,#genre#

风云音乐,rtp://225.1.2.176:5002$联通RTP

CHC家庭影院,rtp://225.1.1.213:5002$联通RTP

CHC影迷电影,rtp://225.1.1.214:5002$联通RTP

CHC动作电影,rtp://225.1.1.215:5002$联通RTP

精彩影视,rtp://225.1.1.141:5002$联通RTP

